Lot No,DATE
B5113,2025.6.13 0:00
B5094 ,2025.5.21 0:00
B5290,2025.11.19 0:00
C5094,2025.5.15 0:00
C5150,2025.6.13 0:00
S5071,2025.4.11 0:00
S5074,2025.4.18 0:00
A10Y01,2025.6.5 0:00
B3370,2025.5.8 0:00
B3370,2025.5.9 0:00
B3370,2025.5.12 0:00
B3370,2025.5.13 0:00
B3370,2025.5.13 0:00
B3370,2025.6.2 0:00
B3370,2025.6.4 0:00
B4004,2025.5.27 0:00
B4004,2025.6.17 0:00
B4019,2025.5.27 0:00
B4110,2025.5.15 0:00
B4115,2025.5.27 0:00
B4217,2025.6.2 0:00
B4217,2025.8.6 0:00
B4217,2025.10.16 0:00
B4224,2025.5.15 0:00
B4224,2025.5.27 0:00
B4247,2025.5.2 0:00
B4256,2025.8.7 0:00
B4256,2025.10.28 0:00
B4256,2025.11.12 0:00
B4257,2025.8.7 0:00
B4257,2025.11.12 0:00
B4260,2025.5.8 0:00
B4260,2025.8.7 0:00
B4260,2025.11.12 0:00
B4261,2025.5.14 0:00
B4261,2025.8.7 0:00
B4261,2025.10.28 0:00
B4261,2025.11.12 0:00
B4262,2025.10.23 0:00
B5008,2025.5.2 0:00
B5008,2025.6.2 0:00
B5008,2025.8.6 0:00
B5019,2025.8.7 0:00
B5023,2025.4.8 0:00
B5023,2025.4.8 0:00
B5024,2025.3.28 0:00
B5024,2025.3.26 0:00
B5026,2025.4.7 0:00
B5026,2025.4.7 0:00
B5028,2025.3.11 0:00
B5029,2025.3.11 0:00
B5029,2025.3.26 0:00
B5030,2025.3.10 0:00
B5031,2025.3.10 0:00
B5031,2025.3.26 0:00
B5032,2025.3.12 0:00
B5033,2025.3.12 0:00
B5034,2025.3.14 0:00
B5034,2025.3.20 0:00
B5035,2025.3.14 0:00
B5035,2025.6.4 0:00
B5035,2025.7.1 0:00
B5035/,2025.8.11 0:00
B5035/,2025.8.12 0:00
B5036,2025.3.18 0:00
B5036,2025.3.20 0:00
B5037,2025.3.14 0:00
B5038,2025.3.17 0:00
B5038,2025.3.20 0:00
B5039,2025.3.17 0:00
B5039,2025.3.20 0:00
B5040,2025.3.25 0:00
B5041,2025.3.24 0:00
B5041,2025.3.18 0:00
B5042,2025.3.19 0:00
B5042,2025.3.20 0:00
B5043,2025.3.19 0:00
B5043,2025.3.25 0:00
B5043,2025.10.28 0:00
B5044,2025.3.20 0:00
B5044,2025.3.27 0:00
B5044,2025.5.14 0:00
B5044,2025.5.14 0:00
B5044,2025.6.5 0:00
B5044,2025.7.1 0:00
B5044,2025.8.5 0:00
B5044,2025.8.6 0:00
B5044,2025.8.28 0:00
B5045,2025.3.20 0:00
B5045,2025.3.28 0:00
B5045,2025.3.25 0:00
B5045,2025.3.26 0:00
B5045,2025.5.19 0:00
B5045,2025.8.6 0:00
B5045,2025.8.28 0:00
B5045,2025.10.1 0:00
B5046,2025.3.20 0:00
B5047,2025.3.21 0:00
B5047,2025.3.27 0:00
B5048,2025.3.21 0:00
B5048,2025.4.4 0:00
B5048,2025.4.4 0:00
B5048,2025.4.7 0:00
B5048,2025.4.7 0:00
B5049,2025.3.21 0:00
B5049,2025.3.28 0:00
B5050,2025.3.26 0:00
B5050,2025.4.7 0:00
B5050,2025.4.7 0:00
B5051,2025.3.26 0:00
B5051,2025.4.7 0:00
B5051,2025.4.7 0:00
B5052,2025.3.27 0:00
B5052,2025.3.31 0:00
B5052,2025.4.3 0:00
B5052,2025.4.7 0:00
B5052,2025.4.8 0:00
B5052,2025.7.4 0:00
B5052,2025.8.7 0:00
B5052,2025.9.4 0:00
B5053,2025.3.27 0:00
B5053,2025.3.28 0:00
B5054,2025.3.28 0:00
B5054,2025.3.27 0:00
B5055,2025.3.28 0:00
B5055,2025.4.7 0:00
B5055,2025.4.7 0:00
B5056,2025.4.1 0:00
B5056,2025.4.9 0:00
B5056,2025.4.9 0:00
B5057,2025.4.1 0:00
B5057,2025.4.9 0:00
B5057,2025.4.9 0:00
B5058,2025.3.31 0:00
B5058,2025.4.7 0:00
B5058,2025.4.8 0:00
B5058,2025.4.7 0:00
B5058,2025.4.8 0:00
