lot_number,manufacturing_date
B5113,2025-06-13
B5094,2025-05-21
B5290,2025-11-19
C5094,2025-05-15
C5150,2025-06-13
S5071,2025-04-11
S5074,2025-04-18
A10Y01,2025-06-05
B3370,2025-05-08
B3370,2025-05-09
B3370,2025-05-12
B3370,2025-05-13
B3370,2025-06-02
B3370,2025-06-04
B4004,2025-05-27
B4004,2025-06-17
B4019,2025-05-27
B4110,2025-05-15
B4115,2025-05-27
B4217,2025-06-02
B4217,2025-08-06
B4217,2025-10-16
B4224,2025-05-15
B4224,2025-05-27
B4247,2025-05-02
B4256,2025-08-07
B4256,2025-10-28
B4256,2025-11-12
B4257,2025-08-07
B4257,2025-11-12
B4260,2025-05-08
B4260,2025-08-07
B4260,2025-11-12
B4261,2025-05-14
B4261,2025-08-07
B4261,2025-10-28
B4261,2025-11-12
B4262,2025-10-23
B5008,2025-05-02
B5008,2025-06-02
B5008,2025-08-06
B5019,2025-08-07
B5023,2025-04-08
B5024,2025-03-28
B5024,2025-03-26
B5026,2025-04-07
B5028,2025-03-11
B5029,2025-03-11
B5029,2025-03-26
B5030,2025-03-10
B5031,2025-03-10
B5031,2025-03-26
B5032,2025-03-12
B5033,2025-03-12
B5034,2025-03-14
B5034,2025-03-20
B5035,2025-03-14
B5035,2025-06-04
B5035,2025-07-01
B5035,2025-08-11
B5035,2025-08-12
B5036,2025-03-18
B5036,2025-03-20
B5037,2025-03-14
B5038,2025-03-17
B5038,2025-03-20
B5039,2025-03-17
B5039,2025-03-20
B5040,2025-03-25
B5041,2025-03-24
B5041,2025-03-18
B5042,2025-03-19
B5042,2025-03-20
B5043,2025-03-19
B5043,2025-03-25
B5043,2025-10-28
B5044,2025-03-20
B5044,2025-03-27
B5044,2025-05-14
B5044,2025-06-05
B5044,2025-07-01
B5044,2025-08-05
B5044,2025-08-06
B5044,2025-08-28
B5045,2025-03-20
B5045,2025-03-28
B5045,2025-03-25
B5045,2025-03-26
B5045,2025-05-19
B5045,2025-08-06
B5045,2025-08-28
B5045,2025-10-01
B5046,2025-03-20
B5047,2025-03-21
B5047,2025-03-27
B5048,2025-03-21
B5048,2025-04-04
B5048,2025-04-07
B5049,2025-03-21
B5049,2025-03-28
B5050,2025-03-26
B5050,2025-04-07
B5051,2025-03-26
B5051,2025-04-07
B5052,2025-03-27
B5052,2025-03-31
B5052,2025-04-03
B5052,2025-04-07
B5052,2025-04-08
B5052,2025-07-04
B5052,2025-08-07
B5052,2025-09-04
B5053,2025-03-27
B5053,2025-03-28
B5054,2025-03-28
B5054,2025-03-27
B5055,2025-03-28
B5055,2025-04-07
B5056,2025-04-01
B5056,2025-04-09
B5057,2025-04-01
B5057,2025-04-09
B5058,2025-03-31
B5058,2025-04-07
B5058,2025-04-08
B5059,2025-03-31
B5059,2025-04-17
B5060,2025-04-09
B5060,2025-04-02
B5061,2025-04-02
B5061,2025-04-09
B5062,2025-04-03
B5062,2025-04-04
B5062,2025-04-10
B5063,2025-04-03
B5063,2025-04-09
B5063,2025-04-10
B5064,2025-04-04
B5064,2025-04-17
B5064,2025-04-09
B5064,2025-04-11
B5065,2025-04-04
B5065,2025-04-07
B5066,2025-04-14
B5066,2025-04-21
B5067,2025-04-11
B5067,2025-04-22
B5067,2025-05-08
B5067,2025-05-09
B5068,2025-04-11
B5068,2025-05-14
B5069,2025-04-15
B5070,2025-04-16
B5070,2025-04-24
B5070,2025-04-29
B5070,2025-07-04
B5070,2025-09-04
B5071,2025-04-21
B5071,2025-04-22
B5072,2025-04-22
B5072,2025-04-29
B5072,2025-09-04
B5072,2025-11-12
B5074,2025-04-22
B5074,2025-04-29
B5075,2025-04-23
B5075,2025-04-29
B5075,2025-04-30
B5076,2025-04-23
B5076,2025-04-28
B5076,2025-04-30
B5077,2025-04-23
B5077,2025-05-07
B5078,2025-04-23
B5078,2025-05-07
B5079,2025-04-24
B5079,2025-05-07
B5080,2025-04-24
B5080,2025-05-08
B5081,2025-04-25
B5081,2025-05-08
B5082,2025-04-25
B5082,2025-05-08
B5083,2025-04-30
B5083,2025-04-29
B5083,2025-05-02
B5084,2025-04-28
B5084,2025-05-02
B5085,2025-05-02
B5086,2025-05-07
B5086,2025-05-09
B5086,2025-10-23
B5087,2025-05-08
B5087,2025-05-09
B5087,2025-05-19
B5087,2025-10-22
B5088,2025-05-12
B5088,2025-05-13
B5089,2025-05-12
B5089,2025-05-13
B5089,2025-10-22
B5090,2025-05-12
B5091,2025-05-13
B5091,2025-05-21
B5092,2025-05-13
B5092,2025-05-21
B5093,2025-05-14
B5093,2025-05-15
B5094,2025-05-15
B5094,2025-05-16
B5094,2025-05-22
B5094,2025-05-23
B5094,2025-05-26
B5095,2025-05-15
B5095,2025-05-16
B5095,2025-05-19
B5096,2025-05-19
B5096,2025-05-21
B5096,2025-05-22
B5097,2025-05-21
B5097,2025-05-22
B5098,2025-05-27
B5098,2025-06-09
B5099,2025-05-27
B5099,2025-06-09
B5100,2025-05-26
B5100,2025-05-30
B5101,2025-05-26
B5101,2025-05-30
B5102,2025-06-02
B5102,2025-05-29
B5103,2025-06-02
B5103,2025-06-09
B5103,2025-06-05
B5103,2025-06-10
B5104,2025-06-02
B5104,2025-06-10
B5105,2025-06-04
B5105,2025-06-11
B5106,2025-06-04
B5106,2025-06-12
B5107,2025-06-05
B5107,2025-06-09
B5107,2025-06-10
B5107,2025-10-01
B5108,2025-06-04
B5108,2025-07-01
B5109,2025-06-09
B5109,2025-06-10
B5109,2025-06-11
B5110,2025-06-10
B5110,2025-06-09
B5111,2025-06-11
B5111,2025-06-16
B5112,2025-06-11
B5113,2025-06-12
B5113,2025-06-16
B5113,2025-06-25
B5114,2025-06-13
B5114,2025-06-20
