Lot No,prdcode,QTY,DATE
S5056,FJSL002,2010,"Mar 26, 2025 12:00 AM"
B5054,PDIR005,1440,"Mar 28, 2025 12:00 AM"
B5034,ILWS008,3110,"Mar 20, 2025 12:00 AM"
B5039,ILWS004,3000,"Mar 20, 2025 12:00 AM"
B5038,ILWS007,3040,"Mar 20, 2025 12:00 AM"
B5040,PDIR001,1645,"Mar 25, 2025 12:00 AM"
B5041,PDIR003,1645,"Mar 24, 2025 12:00 AM"
B5036,PDIR009,1631,"Mar 20, 2025 12:00 AM"
S5052,FJSL004,1981,"Mar 24, 2025 12:00 AM"
B5042,PDIR004,2037,"Mar 20, 2025 12:00 AM"
B5049,BTBO002,991,"Mar 28, 2025 12:00 AM"
B5024,BTBO003,995,"Mar 28, 2025 12:00 AM"
B5047,BTBC007,1090,"Mar 27, 2025 12:00 AM"
B5053,BTBO001,1121,"Mar 28, 2025 12:00 AM"
E5010,FJLM001,3432,"Mar 20, 2025 12:00 AM"
S5054,RRBM002,2069,"Mar 31, 2025 12:00 AM"
B5060,RLBC001,1750,"Apr 9, 2025 12:00 AM"
E5013,AOHSR00,2260,"Mar 26, 2025 12:00 AM"
B5043,AOBC005,958,"Mar 25, 2025 12:00 AM"
E5010,FJLM001,1935,"Mar 21, 2025 12:00 AM"
C5079,FJCRT02,2002,"Mar 21, 2025 12:00 AM"
S5053,FJSL004,1981,"Mar 24, 2025 12:00 AM"
C5081,FJMK007,4815,"Mar 25, 2025 12:00 AM"
B5063,RLBC002,1296,"Apr 9, 2025 12:00 AM"
S5068,FJSL003,5600,"Apr 4, 2025 12:00 AM"
,RRBM004,2081,"Mar 31, 2025 12:00 AM"
B5026,BTBC004,233,"Apr 7, 2025 12:00 AM"
B5056,BTBC006,978,"Apr 9, 2025 12:00 AM"
B5055,BTBC007,1000,"Apr 7, 2025 12:00 AM"
B5065,AOBC000,1313,"Apr 7, 2025 12:00 AM"
S5048,FJSL007,153,"Mar 25, 2025 12:00 AM"
C4237,FJCR009,149,"Mar 25, 2025 12:00 AM"
B5029,BTBC006,765,"Mar 26, 2025 12:00 AM"
C5083,FJFC002,5500,"Mar 26, 2025 12:00 AM"
H5028,AJSP002,1320,"May 7, 2025 12:00 AM"
E5014,FJLM002,1260,"Mar 27, 2025 12:00 AM"
C5084,FJFC002,5996,"Mar 31, 2025 12:00 AM"
S5059,FJCW001,3240,"Mar 31, 2025 12:00 AM"
C5086,FJFC004,3096,"Apr 2, 2025 12:00 AM"
E5014,FJLM002,3116,"Apr 2, 2025 12:00 AM"
S5066,FJSL001,1950,"Apr 3, 2025 12:00 AM"
S5063,FJSL001,1950,"Apr 2, 2025 12:00 AM"
S5064,FJSL001,1950,"Apr 2, 2025 12:00 AM"
S5065,FJSL001,1950,"Apr 2, 2025 12:00 AM"
S5070,RRBM001,2049,"Apr 11, 2025 12:00 AM"
S5072,RRBM002,2076,"Apr 11, 2025 12:00 AM"
S5073,RRBM012,2055,"Apr 14, 2025 12:00 AM"
M5061,RMBL004,1017,"May 9, 2025 12:00 AM"
M5062,RMBL006,1018,"May 9, 2025 12:00 AM"
M5046,RMBL003,920,"Apr 3, 2025 12:00 AM"
C5068,FJSL003,6600,"Apr 3, 2025 12:00 AM"
S5077,FJSL004,1950,"Apr 30, 2025 12:00 AM"
S5067,FJSL001,2019,"Apr 3, 2025 12:00 AM"
C5089,FJCR002,3010,"Apr 3, 2025 12:00 AM"
C5088,FJPGM02,2970,"Apr 3, 2025 12:00 AM"
C5082,FJCR008,3120,"Apr 3, 2025 12:00 AM"
S5068,FJSL003,1200,"Apr 3, 2025 12:00 AM"
C5088,FJPGM02,2238,"Apr 4, 2025 12:00 AM"
H5022,AOSP000,1320,"Apr 8, 2025 12:00 AM"
S5069,FJSL003,3691,"Apr 4, 2025 12:00 AM"
B5048,BTBC007,630,"Apr 4, 2025 12:00 AM"
