Lot No,prdcode,생산 완료 수량,생산일
M5044,BADML0000,1000,"Mar 10, 2025 12:00 AM"
B5030,BBTBC0050,1000,"Mar 10, 2025 12:00 AM"
M5045,BADML0000,1000,"Mar 10, 2025 12:00 AM"
B5031,BBTBC0050,1000,"Mar 10, 2025 12:00 AM"
S5047,BMLDM0330,300,"Mar 10, 2025 12:00 AM"
B5029,BBTBC0060,1000,"Mar 11, 2025 12:00 AM"
B5028,BBTBC0060,1000,"Mar 11, 2025 12:00 AM"
S5048,BFJSL0070,810,"Mar 11, 2025 12:00 AM"
C5074,BKBHC0110,267,"Mar 11, 2025 12:00 AM"
S5049,BMLDM0350,150,"Mar 11, 2025 12:00 AM"
B5032,BAOBC0000,2000,"Mar 12, 2025 12:00 AM"
E5009,BFJLM0010,85,"Mar 11, 2025 12:00 AM"
B5033,BAOBC0000,2000,"Mar 12, 2025 12:00 AM"
C5075,BFJFC0020,800,"Mar 12, 2025 12:00 AM"
C5076,BFJFC0020,800,"Mar 12, 2025 12:00 AM"
E5010,BFJLM0010,85,"Mar 12, 2025 12:00 AM"
H5017,BAOSP0000,2000,"Mar 13, 2025 12:00 AM"
H5018,BAOSP0000,2000,"Mar 13, 2025 12:00 AM"
B5047,BBTBC0070,1000,"Mar 21, 2025 12:00 AM"
C5077,BRMHC0010,520,"Mar 14, 2025 12:00 AM"
B5035,BFJCL0010,1000,"Mar 14, 2025 12:00 AM"
S5050,BRMSCN100,875,"Mar 14, 2025 12:00 AM"
B5046,BBTBO0030,250,"Mar 20, 2025 12:00 AM"
B5034,BILWS0080,610,"Mar 14, 2025 12:00 AM"
B5038,BILWS0070,785,"Mar 17, 2025 12:00 AM"
B5039,BILWS0040,785,"Mar 17, 2025 12:00 AM"
S5051,BRRBM0010,470,"Mar 17, 2025 12:00 AM"
E5011,BFJWE0010,220,"Mar 17, 2025 12:00 AM"
,BFJBB0010,,
S5052,BFJSL0040,1000,"Mar 18, 2025 12:00 AM"
S5053,BFJSL0040,1000,"Mar 18, 2025 12:00 AM"
B5036,BPDIR0090,500,"Mar 18, 2025 12:00 AM"
S5054,BRRBM0020,470,"Mar 18, 2025 12:00 AM"
B5037,BPDIR0070,500,"Mar 14, 2025 12:00 AM"
C5079,BFJCR0020,800,"Mar 19, 2025 12:00 AM"
B5043,BAOBC0050,1050,"Mar 19, 2025 12:00 AM"
C5080,BFJCR0020,800,"Mar 19, 2025 12:00 AM"
C5081,BFJMK0070,400,"Mar 20, 2025 12:00 AM"
B5042,BPDIR0040,400,"Mar 19, 2025 12:00 AM"
