OrderDate,SourceFile,ProductCode,EnglishName,PcsPerCtn,SupplyPriceUnit,CommissionUnit,PaymentAmountUnit,Destination,Quantity,SupplyPriceTotal,CommissionTotal,PaymentAmountTotal
2025-01-01,01월.xlsx,VMSP007,VALMONA Sugar Velvet Milk Shampoo,20.0,3348.0,365.0,3713.0,블라디보스톡 VLADIVOSTOK,100.0,334800.0,36500.0,371300.0
2025-01-01,01월.xlsx,VMSP007,VALMONA Sugar Velvet Milk Shampoo,20.0,3348.0,365.0,3713.0,크라스노다르 KRASNODAR,520.0,1740960.0,189800.0,1930760.0
2025-01-01,01월.xlsx,VMSPM07,VALMONA Sugar Velvet Milk Shampoo 100ml,80.0,968.0,126.0,1094.0,크라스노다르 KRASNODAR,80.0,77440.0,10080.0,87520.0
2025-01-01,01월.xlsx,VMRS007,VALMONA Sugar Velvet Milk Nutrient Conditioner,20.0,3348.0,365.0,3713.0,블라디보스톡 VLADIVOSTOK,40.0,133920.0,14600.0,148520.0
2025-01-01,01월.xlsx,VMRS007,VALMONA Sugar Velvet Milk Nutrient Conditioner,20.0,3348.0,365.0,3713.0,크라스노다르 KRASNODAR,460.0,1540080.0,167900.0,1707980.0
2025-01-01,01월.xlsx,VMSP005,VALMONA Powerful Solution Black Peony Seoritae Shampoo,20.0,3348.0,365.0,3713.0,크라스노다르 KRASNODAR,320.0,1071360.0,116800.0,1188160.0
2025-01-01,01월.xlsx,VMSP004,Valmona Ayurvedic Scalp Solution Black Cumin Shampoo,20.0,3348.0,365.0,3713.0,크라스노다르 KRASNODAR,260.0,870480.0,94900.0,965380.0
2025-01-01,01월.xlsx,VMRS004,VALMONA Ayurvedic Repair Solution Black Cumin Nutrient Conditioner,20.0,3348.0,365.0,3713.0,크라스노다르 KRASNODAR,220.0,736560.0,80300.0,816860.0
2025-01-01,01월.xlsx,VMSP008,VALMONA Yolk Mayo Shampoo,20.0,3348.0,365.0,3713.0,크라스노다르 KRASNODAR,160.0,535680.0,58400.0,594080.0
2025-01-01,01월.xlsx,VMRS008,VALMONA Yolk Mayo Nutrient Conditioner,20.0,3348.0,365.0,3713.0,크라스노다르 KRASNODAR,120.0,401760.0,43800.0,445560.0
2025-01-01,01월.xlsx,VMSP009,VALMONA Blue Clinic Shampoo,20.0,3348.0,365.0,3713.0,크라스노다르 KRASNODAR,280.0,937440.0,102200.0,1039640.0
2025-01-01,01월.xlsx,VMRS009,VALMONA Blue Clinic Nutrient Conditioner,20.0,3348.0,365.0,3713.0,블라디보스톡 VLADIVOSTOK,60.0,200880.0,21900.0,222780.0
2025-01-01,01월.xlsx,VMRS009,VALMONA Blue Clinic Nutrient Conditioner,20.0,3348.0,365.0,3713.0,크라스노다르 KRASNODAR,220.0,736560.0,80300.0,816860.0
2025-01-01,01월.xlsx,VMRSM09,VALMONA Blue Clinic Nutrient Conditioner 100ml,80.0,968.0,126.0,1094.0,블라디보스톡 VLADIVOSTOK,80.0,77440.0,10080.0,87520.0
2025-01-01,01월.xlsx,VMSP006,VALMONA Ginseng Heritage Gosam Shampoo,30.0,2678.0,298.0,2976.0,크라스노다르 KRASNODAR,30.0,80340.0,8940.0,89280.0
2025-01-01,01월.xlsx,KBCR004,"Kiss by Rosemine Fragrance Cream - 
Oh, Fresh Forever 140ml ",60.0,2987.0,329.0,3316.0,모스크바 MOSCOW PFO,60.0,179220.0,19740.0,198960.0
2025-01-01,01월.xlsx,KBCR004,"Kiss by Rosemine Fragrance Cream - 
Oh, Fresh Forever 140ml ",60.0,2987.0,329.0,3316.0,크라스노다르 KRASNODAR,60.0,179220.0,19740.0,198960.0
2025-01-01,01월.xlsx,KBCR005,"Kiss by Rosemine Fragrance Cream -
Oh, Fresh Herb Garden 140ml",60.0,2987.0,329.0,3316.0,모스크바 MOSCOW EFIMOV,180.0,537660.0,59220.0,596880.0
2025-01-01,01월.xlsx,KBCR005,"Kiss by Rosemine Fragrance Cream -
Oh, Fresh Herb Garden 140ml",60.0,2987.0,329.0,3316.0,모스크바 MOSCOW PFO,60.0,179220.0,19740.0,198960.0
