product_code,brand,name_ko,barcode,name_en,name_ru,pcs_per_carton,price_supply,commission,price_unit,W,H,L,CBM,hscode
PDSP009,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 샴푸 2L,8802929002835,PEDISON Institute-beaut Aronia Color Protection Shampoo,"[Pedison] Шампунь для волос АРОНИЯ Institute-beaut Aronia Color Protection Shampoo, 2000 мл",6,"5,840",617,"6,457",6,13,14,0.0278,3305.10-0000
PDSPM09,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 샴푸 500ml,8802929004761,PEDISON Institute-beaut Aronia Color Protection Shampoo 500ml,"[Pedison] Шампунь для волос АРОНИЯ Institute-beaute Aronia Color Protection Shampoo, 500 мл",20,"3,137",347,"3,484",20,11,12,0.02831,3305.10-0000
PDSPT09,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 샴푸 100ml,8802929004839,PEDISON Institute-beaut Aronia Color Protection Shampoo 100ml,"[Pedison] Шампунь для волос АРОНИЯ Institute-beaute Aronia Color Protection Shampoo, 100 мл",80,"1,016",135,"1,151",80,9.5,10.5,0.0359,3305.10-0000
PDRS006,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 트리트먼트 2L,8802929002842,PEDISON Institute-beaut Aronia Color Protection Treatment,"[Pedison] Маска для волос АРОНИЯ Institute-beaut Aronia Color Protection Treatment, 2000 мл",6,"6,381",671,"7,052",6,13,14,0.0278,3305.90-1000
PDRSM06,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 트리트먼트 500ml,8802929004815,PEDISON Institute-beaut Aronia Color Protection Treatment 500ml,"[Pedison] Маска для волос АРОНИЯ Institute-beaut Aronia Color Protection Treatment, 500 мл",20,"3,137",347,"3,484",20,11,12,0.02831,3305.90-1000
PDRST06,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 트리트먼트 100ml,8802929004877,PEDISON Institute-beaut Aronia Color Protection Treatment 100ml,"[Pedison] Маска для волос АРОНИЯ Institute-beaut Aronia Color Protection Treatment, 100 мл",80,"1,016",135,"1,151",80,9.5,10.5,0.0359,3305.90-1000
PDSP003,PEDISON,페디슨 인스티튜트 보떼 한방 뿌리 케어 헤어샴푸(Hair Shampoo) 750 ml,8802929000046,Pedison Institut-beaute Oriental Root Care Shampoo,"[Pedison] Шампунь для волос ТРАВЫ Institut-beaute Oriental Root Care Shampoo, 750 мл",20,"3,407",374,"3,781",20,16.8,17.8,0.0311,3305.10-0000
PDRS001,PEDISON,페디슨 인스티튜트 보떼 한방 뿌리 케어 헤어 컨디셔너(Hair Conditioner) 750 ml,8802929000053,Pedison Institut-beaute Oriental Root Care Conditioner,"[Pedison] Кондиционер для волос ТРАВЫ Institut-beaute Oriental Root Care Conditioner, 750 мл",20,"3,407",374,"3,781",20,16.5,17.5,0.0311,3305.90-1000
PDSP006,PEDISON,페디슨 인스티튜트 보떼 망고 리치 단백질 헤어 샴푸 2L,8802929002170,PEDISON Institute-Beaute Mango Rich Protein Hair Shampoo,"[Pedison] Шампунь для волос МАНГО Institute-Beaute Mango Rich Protein Hair Shampoo, 2000 мл",6,"5,840",617,"6,457",6,13,14,0.0278,3305.10-0000
PDSPM06,PEDISON,페디슨 인스티튜트 보떼 망고 리치 단백질 헤어 샴푸 500ml,8802929004747,PEDISON Institute-Beaute Mango Rich Protein Hair Shampoo 500ml,"[Pedison] Шампунь для волос МАНГО Institute-Beaute Mango Rich Protein Hair Shampoo, 500 мл",20,"3,137",347,"3,484",20,11,12,0.02831,3305.10-0000
