lot_number,product_id,produced_qty,production_date,expiry_date
M5066,ADML000,1000,2025-05-22,2028-05-22
M5047,ADML000,1000,2025-04-23,2028-04-23
M5047,ADML000,1001,2025-04-23,2028-04-23
M5048,ADML000,1000,2025-04-23,2028-04-23
M5049,ADML000,1000,2025-04-23,2028-04-23
C5050,ADML000,1000,2025-04-23,2028-04-23
C5051,ADML000,1089,2025-04-23,2028-04-23
M5067,ADML000,1000,2025-05-22,2028-05-22
M5068,ADML000,1000,2025-05-22,2028-05-22
M5072,ADML000,1000,2025-06-18,2028-06-18
M5073,ADML000,1000,2025-06-18,2028-06-18
M5074,ADML000,1000,2025-06-18,2028-06-18
M5075,ADML000,1000,2025-06-19,2028-06-19
M5076,ADML000,1000,2025-06-19,2028-06-19
M5080,ADML000,1010,2025-06-26,2028-06-26
M5081,ADML000,430,2025-06-26,2028-06-26
M5081,ADML000,580,2025-06-27,2028-06-27
M5082,ADML000,1010,2025-06-27,2028-06-27
M5083,ADML000,1010,2025-06-27,2028-06-27
M5084,ADML000,1002,2025-06-30,2028-06-30
M5093,ADML000,1000,2025-08-05,2028-08-05
M5094,ADML000,601,2025-08-05,2028-08-05
M5096,ADML000,1000,2025-08-06,2028-08-06
M5098,ADML000,578,2025-08-07,2028-08-07
M5099/100,ADML000,1157,2025-08-07,2028-08-07
M5101,ADML000,577,2025-08-07,2028-08-07
M5113,ADML000,1010,2025-10-13,2028-10-13
M5114,ADML000,190,2025-10-13,2028-10-13
M5114,ADML000,820,2025-10-14,2028-10-14
M5115,ADML000,1010,2025-10-14,2028-10-14
M5116,ADML000,1010,2025-10-14,2028-10-14
M5117,ADML000,1066,2025-10-15,2028-10-15
M5131,ADML000,1010,2025-11-10,2028-11-10
M5132,ADML000,1010,2025-11-10,2028-11-10
M5133,ADML000,1010,2025-11-11,2028-11-11
M5134,ADML000,1010,2025-11-12,2028-11-12
M5136,ADML000,1010,2025-11-12,2028-11-12
M5137,ADML000,1010,2025-11-13,2028-11-13
M5138,ADML000,1010,2025-11-13,2028-11-13
M5139,ADML000,920,2025-11-13,2028-11-13
M5148,ADML000,1010,2025-12-18,2028-12-18
M5149,ADML000,1010,2025-12-18,2028-12-18
M5150,ADML000,380,2025-12-18,2028-12-18
M5155,ADML000,790,2025-12-22,2028-12-22
M5156,ADML000,933,2025-12-22,2028-12-22
M5150,ADML000,630,2025-12-19,2028-12-19
M5151,ADML000,1010,2025-12-19,2028-12-19
M5152,ADML000,1010,2025-12-19,2028-12-19
M5153,ADML000,1010,2025-12-19,2028-12-19
M5154,ADML000,1010,2025-12-19,2028-12-19
M5155,ADML000,280,2025-12-19,2028-12-19
M5104,ADMLM00,10314,2025-08-27,2028-08-27
M5140,ADMLM00,979,2025-11-19,2028-11-19
B5083,AJBC002,960,2025-04-30,2028-04-30
B5084,AJBC002,744,2025-05-02,2028-05-02
B5083,AJBC002,840,2025-05-02,2028-05-02
B5141,AJBC002,1320,2025-07-22,2028-07-22
B5142,AJBC002,1320,2025-07-22,2028-07-22
B5149,AJBC002,355,2025-07-22,2028-07-22
B5214,AJBC002,1320,2025-09-08,2028-09-08
B5216,AJBC002,312,2025-09-08,2028-09-08
B5215,AJBC002,1377,2025-09-09,2028-09-09
B5291,AJBC002,1320,2025-11-13,2028-11-13
B5292,AJBC002,1320,2025-11-17,2028-11-17
B5293,AJBC002,346,2025-11-17,2028-11-17
H5028,AJSP002,1320,2025-05-07,2028-05-07
H5029,AJSP002,1320,2025-05-07,2028-05-07
H5030,AJSP002,358,2025-05-07,2028-05-07
H5061,AJSP002,636,2025-09-05,2028-09-05
H5061,AJSP002,362,2025-09-08,2028-09-08
H5062,AJSP002,999,2025-09-08,2028-09-08
H5088,AJSP002,480,2025-11-18,2028-11-18
H5088,AJSP002,1320,2025-11-19,2028-11-19
H5089,AJSP002,615,2025-11-19,2028-11-19
