invoice_date,pl_number,invoice_number,consignee_name,consignee_address,consignee_tel,consignee_email,exporter_name,manufacturer,shipping_port,departure_date,payment_term,destination,vessel_flight,total_cartons,total_nw_kg,total_gw_kg,total_cbm,total_pallets,order_id
2025-01-27,PL-20250127-OV5,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2213.663999999998,2391.913999999996,5.451713000000006,5,RU-2025-01
2025-02-11,PL-20250211-OV2,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,1122.882,1207.632,2.712561000000001,2,RU-2025-02
2025-01-27,PL-20250127-FO3,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,1341.696319999999,1457.02868,3.6649560000000005,3,RU-2025-01
2025-02-11,PL-20250211-FO2,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,809.7176399999998,867.3999999999999,1.938344750000002,2,RU-2025-02
2025-01-27,PL-20250127-스크5,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2560.036439999999,2770.268799999999,6.786039750000001,5,RU-2025-01
2025-02-11,PL-20250211-스톡6,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2550.0288399999986,2747.455359999997,6.403301749999993,6,RU-2025-02
2025-01-27,PL-20250127-스크2,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,857.8897400000005,919.1280000000006,2.0429050000000006,2,RU-2025-01
2025-02-11,PL-20250211-스크5,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2202.761999999999,2371.911999999995,5.926272624999987,5,RU-2025-02
2025-01-27,PL-20250127-다르9,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,4138.618560000001,4472.247999999999,10.538289124999945,9,RU-2025-01
2025-02-11,PL-20250211-다르5,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2147.5559199999975,2317.785360000002,6.0939342499999825,5,RU-2025-02
2025-01-27,PL-20250127-스크2-B,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,864.31368,926.9636800000002,2.1531180000000014,2,RU-2025-01
2025-07-07,PL-20250707-체20,20250707,"STIMUL Co., Ltd","8F, IP Pavilion, 49, Centum dong-ro, Haeundae-gu, Busan, Republic of Korea",CONTACT : +82-51-466-6222,,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,9072.909880000028,9737.71292000001,23.400965625000172,20,RU-2025-07
