product_code,brand,name_ko,name_en,name_ru,barcode,pcs_per_carton,width_cm,height_cm,depth_cm,cbm,hscode,status
PDSP009,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 샴푸 2L,PEDISON Institute-beaut Aronia Color Protection Shampoo,"[Pedison] Шампунь для волос АРОНИЯ Institute-beaut Aronia Color Protection Shampoo, 2000 мл",8802929002835,6,6,13,14,0.0278,3305.10-0000,active
PDSPM09,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 샴푸 500ml,PEDISON Institute-beaut Aronia Color Protection Shampoo 500ml,"[Pedison] Шампунь для волос АРОНИЯ Institute-beaute Aronia Color Protection Shampoo, 500 мл",8802929004761,20,20,11,12,0.02831,3305.10-0000,active
PDSPT09,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 샴푸 100ml,PEDISON Institute-beaut Aronia Color Protection Shampoo 100ml,"[Pedison] Шампунь для волос АРОНИЯ Institute-beaute Aronia Color Protection Shampoo, 100 мл",8802929004839,80,80,9.5,10.5,0.0359,3305.10-0000,active
PDRS006,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 트리트먼트 2L,PEDISON Institute-beaut Aronia Color Protection Treatment,"[Pedison] Маска для волос АРОНИЯ Institute-beaut Aronia Color Protection Treatment, 2000 мл",8802929002842,6,6,13,14,0.0278,3305.90-1000,active
PDRSM06,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 트리트먼트 500ml,PEDISON Institute-beaut Aronia Color Protection Treatment 500ml,"[Pedison] Маска для волос АРОНИЯ Institute-beaut Aronia Color Protection Treatment, 500 мл",8802929004815,20,20,11,12,0.02831,3305.90-1000,active
PDRST06,PEDISON,페디슨 인스티튜트 보떼 아로니아 컬러 프로텍션 헤어 트리트먼트 100ml,PEDISON Institute-beaut Aronia Color Protection Treatment 100ml,"[Pedison] Маска для волос АРОНИЯ Institute-beaut Aronia Color Protection Treatment, 100 мл",8802929004877,80,80,9.5,10.5,0.0359,3305.90-1000,active
PDSP003,PEDISON,페디슨 인스티튜트 보떼 한방 뿌리 케어 헤어샴푸(Hair Shampoo) 750 ml,Pedison Institut-beaute Oriental Root Care Shampoo,"[Pedison] Шампунь для волос ТРАВЫ Institut-beaute Oriental Root Care Shampoo, 750 мл",8802929000046,20,20,16.8,17.8,0.0311,3305.10-0000,active
PDRS001,PEDISON,페디슨 인스티튜트 보떼 한방 뿌리 케어 헤어 컨디셔너(Hair Conditioner) 750 ml,Pedison Institut-beaute Oriental Root Care Conditioner,"[Pedison] Кондиционер для волос ТРАВЫ Institut-beaute Oriental Root Care Conditioner, 750 мл",8802929000053,20,20,16.5,17.5,0.0311,3305.90-1000,active
PDSP006,PEDISON,페디슨 인스티튜트 보떼 망고 리치 단백질 헤어 샴푸 2L,PEDISON Institute-Beaute Mango Rich Protein Hair Shampoo,"[Pedison] Шампунь для волос МАНГО Institute-Beaute Mango Rich Protein Hair Shampoo, 2000 мл",8802929002170,6,6,13,14,0.0278,3305.10-0000,active
PDSPM06,PEDISON,페디슨 인스티튜트 보떼 망고 리치 단백질 헤어 샴푸 500ml,PEDISON Institute-Beaute Mango Rich Protein Hair Shampoo 500ml,"[Pedison] Шампунь для волос МАНГО Institute-Beaute Mango Rich Protein Hair Shampoo, 500 мл",8802929004747,20,20,11,12,0.02831,3305.10-0000,active
