OrderDate,buyer_id,Destination,invoice_number ,packing_lists_id,pallets_number,ProductCode,EnglishName,PcsPerCtn,SupplyPriceUnit,CommissionUnit,PaymentAmountUnit,Destination,total_qty,SupplyPriceTotal,CommissionTotal,PaymentAmountTotal,status
2025-01-01,,블라디보스톡 VLADIVOSTOK,,,,VMSP007,VALMONA Sugar Velvet Milk Shampoo,20,3348,365,3713,블라디보스톡 VLADIVOSTOK,100,334800,36500,371300,
2025-01-01,,크라스노다르 KRASNODAR,,,,VMSP007,VALMONA Sugar Velvet Milk Shampoo,20,3348,365,3713,크라스노다르 KRASNODAR,520,1740960,189800,1930760,
2025-01-01,,크라스노다르 KRASNODAR,,,,VMSPM07,VALMONA Sugar Velvet Milk Shampoo 100ml,80,968,126,1094,크라스노다르 KRASNODAR,80,77440,10080,87520,
2025-01-01,,블라디보스톡 VLADIVOSTOK,,,,VMRS007,VALMONA Sugar Velvet Milk Nutrient Conditioner,20,3348,365,3713,블라디보스톡 VLADIVOSTOK,40,133920,14600,148520,
2025-01-01,,크라스노다르 KRASNODAR,,,,VMRS007,VALMONA Sugar Velvet Milk Nutrient Conditioner,20,3348,365,3713,크라스노다르 KRASNODAR,460,1540080,167900,1707980,
2025-01-01,,크라스노다르 KRASNODAR,,,,VMSP005,VALMONA Powerful Solution Black Peony Seoritae Shampoo,20,3348,365,3713,크라스노다르 KRASNODAR,320,1071360,116800,1188160,
2025-01-01,,크라스노다르 KRASNODAR,,,,VMSP004,Valmona Ayurvedic Scalp Solution Black Cumin Shampoo,20,3348,365,3713,크라스노다르 KRASNODAR,260,870480,94900,965380,
2025-01-01,,크라스노다르 KRASNODAR,,,,VMRS004,VALMONA Ayurvedic Repair Solution Black Cumin Nutrient Conditioner,20,3348,365,3713,크라스노다르 KRASNODAR,220,736560,80300,816860,
2025-01-01,,크라스노다르 KRASNODAR,,,,VMSP008,VALMONA Yolk Mayo Shampoo,20,3348,365,3713,크라스노다르 KRASNODAR,160,535680,58400,594080,
2025-01-01,,크라스노다르 KRASNODAR,,,,VMRS008,VALMONA Yolk Mayo Nutrient Conditioner,20,3348,365,3713,크라스노다르 KRASNODAR,120,401760,43800,445560,
